region_id,month,gini_index,unemployment_rate,inflation_rate,media_sentiment_index,rainfall_deviation,policy_instability_index,prior_unrest_count,population_density,food_price_index,fuel_subsidy_cut,gov_approval,neighbor_unrest_prev,unrest_event
R3,2023-02-01,0.572,10.26,4.39,-0.13,-0.75,3,0.0,247.6,105.5,0,0.0,1,1
R4,2023-02-01,0.383,12.17,1.71,-0.472,1.06,2,0.0,400.7,109.2,0,0.0,0,0
R5,2023-02-01,0.455,12.31,5.41,-0.075,1.28,1,1.0,203.8,96.9,0,0.0,1,0
R6,2023-02-01,0.597,16.68,4.18,0.406,-0.16,0,0.0,463.7,118.2,0,0.0,0,0
R7,2023-02-01,0.447,16.91,1.65,0.422,-0.68,0,0.0,251.6,112.3,0,0.0,0,0
R8,2023-02-01,0.568,6.5,3.02,0.594,-0.22,0,0.0,92.7,99.9,0,0.15,0,0
R9,2023-02-01,0.489,17.11,3.65,0.088,-1.6,2,1.0,73.3,112.3,0,0.0,1,0
R10,2023-02-01,0.407,12.82,0.93,0.601,1.46,2,1.0,221.9,101.2,1,0.0,0,1
R11,2023-02-01,0.48,10.3,2.75,-0.512,-0.72,0,0.0,190.6,102.6,0,0.0,1,0
R12,2023-02-01,0.574,7.0,2.05,-0.402,-0.16,0,0.0,132.4,101.9,0,0.14,1,0
R13,2023-02-01,0.527,8.46,4.15,-0.301,-0.35,0,1.0,222.7,96.2,0,0.12,1,0
R14,2023-02-01,0.421,7.25,2.64,-0.644,0.03,0,0.0,428.7,111.3,0,0.32,2,0
R15,2023-02-01,0.516,11.16,2.52,0.051,-0.93,3,0.0,226.5,101.0,0,0.0,0,0
R16,2023-02-01,0.628,15.21,4.18,-0.018,0.11,0,0.0,157.2,106.0,0,0.0,0,0
R17,2023-02-01,0.38,4.91,4.59,0.43,1.7,0,0.0,427.8,104.6,0,0.41,0,0
R18,2023-02-01,0.498,16.04,4.31,0.06,0.43,1,0.0,303.3,107.5,0,0.0,0,0
R19,2023-02-01,0.523,13.96,3.61,-0.177,-2.73,1,0.0,478.6,105.1,0,0.0,0,0
R20,2023-02-01,0.541,9.69,4.03,0.032,2.81,0,0.0,332.8,103.1,0,0.0,1,0
R21,2023-02-01,0.522,8.2,2.53,-0.836,1.91,1,0.0,382.4,110.9,0,0.14,4,1
R22,2023-02-01,0.352,12.78,3.55,-0.547,0.75,2,0.0,417.5,108.5,0,0.0,0,1
R23,2023-02-01,0.482,11.44,4.34,0.19,-0.33,0,0.0,218.6,108.5,0,0.05,1,0
R24,2023-02-01,0.586,16.82,3.24,-0.008,-0.02,0,0.0,398.6,102.4,0,0.0,0,0
R25,2023-02-01,0.363,12.5,4.54,0.164,-0.88,0,0.0,486.6,115.6,0,0.0,1,0
R26,2023-02-01,0.384,7.07,2.11,-0.143,1.42,0,0.0,299.8,99.8,0,0.42,0,0
R27,2023-02-01,0.368,10.65,3.88,0.207,2.06,0,0.0,439.8,109.1,0,0.14,0,0
R28,2023-02-01,0.461,15.86,2.9,0.237,1.66,1,0.0,431.2,102.1,0,0.0,1,0
R29,2023-02-01,0.416,6.59,4.67,-0.609,0.05,0,0.0,53.0,103.9,0,0.3,2,0
R30,2023-02-01,0.54,11.15,2.89,-0.316,0.78,0,0.0,303.8,109.0,0,0.0,1,0
R31,2023-02-01,0.312,15.33,4.13,-0.125,-0.48,0,0.0,150.7,109.0,0,0.0,0,0
R32,2023-02-01,0.314,12.11,2.81,-0.02,-0.38,0,1.0,247.6,103.0,0,0.1,0,0
R33,2023-02-01,0.425,13.67,2.76,-0.035,0.25,0,0.0,64.6,110.0,0,0.11,1,0
R34,2023-02-01,0.588,3.16,3.97,-0.415,0.73,0,0.0,205.1,108.9,0,0.11,1,1
R35,2023-02-01,0.36,7.9,3.62,-0.475,0.3,1,0.0,253.5,110.8,0,0.23,1,0
R36,2023-02-01,0.529,11.86,3.63,0.204,-0.28,0,0.0,112.2,107.2,1,0.0,0,0
R37,2023-02-01,0.573,5.86,3.05,-0.059,-1.7,1,0.0,396.0,99.1,0,0.0,0,1
R38,2023-02-01,0.572,9.47,2.87,-0.24,1.36,0,0.0,390.9,101.3,0,0.0,0,1
R39,2023-02-01,0.378,13.78,3.36,0.497,-0.25,0,0.0,425.7,113.2,0,0.0,1,0
R40,2023-02-01,0.334,13.31,2.66,-0.667,-0.97,0,0.0,441.9,108.4,0,0.0,3,0
R41,2023-02-01,0.603,13.25,4.36,0.165,-0.42,0,0.0,123.3,100.3,1,0.0,3,0
R42,2023-02-01,0.41,6.8,5.43,-0.183,-0.34,3,0.0,130.3,123.2,0,0.0,0,0
R43,2023-02-01,0.551,14.55,3.4,0.125,-0.28,1,0.0,242.9,110.3,1,0.0,2,0
R44,2023-02-01,0.526,10.83,6.61,-0.186,0.12,3,0.0,406.0,105.8,0,0.0,0,0
R45,2023-02-01,0.591,9.18,3.92,0.477,-1.26,1,0.0,391.2,103.4,0,0.0,0,0
R46,2023-02-01,0.565,15.22,4.39,0.7,-0.22,2,0.0,293.4,100.5,0,0.0,2,0
R47,2023-02-01,0.51,6.58,2.59,-0.348,-1.35,0,0.0,263.9,111.9,0,0.0,0,0
R48,2023-02-01,0.285,9.45,4.52,0.008,-1.0,1,0.0,54.3,118.0,0,0.18,0,0
R49,2023-02-01,0.317,12.39,2.77,-0.436,-0.46,3,1.0,109.2,107.5,0,0.0,0,1
R50,2023-02-01,0.438,14.2,5.33,-0.159,0.14,0,0.0,116.5,110.7,0,0.0,0,0
R1,2023-03-01,0.542,8.79,2.67,-0.67,0.64,2,0.7,112.5,114.4,0,0.0,2,0
R2,2023-03-01,0.528,6.24,4.1,-0.097,-0.07,2,0.0,67.5,115.8,0,0.0,1,0
R3,2023-03-01,0.566,9.63,3.14,0.379,0.06,2,1.0,346.0,104.9,0,0.0,1,0
R4,2023-03-01,0.353,10.5,3.86,-0.129,0.39,1,0.0,292.2,111.4,0,0.0,2,0
R5,2023-03-01,0.473,14.0,2.97,0.235,-0.47,0,0.7,232.3,112.5,0,0.0,0,0
R6,2023-03-01,0.595,16.08,3.65,-0.154,0.88,1,0.0,241.4,109.0,0,0.0,0,0
R7,2023-03-01,0.467,16.32,1.62,0.19,-1.01,2,0.0,171.3,110.9,0,0.0,1,1
R8,2023-03-01,0.534,5.76,4.25,-0.467,0.98,0,0.0,459.2,113.7,0,0.06,0,0
R9,2023-03-01,0.472,18.94,4.39,-0.588,2.06,2,0.7,433.1,103.7,0,0.0,1,1
R10,2023-03-01,0.45,15.44,2.74,-0.582,-0.62,2,1.7,131.5,107.5,0,0.0,1,0
R11,2023-03-01,0.513,10.45,2.12,0.018,-1.1,0,0.0,126.8,106.6,0,0.0,0,0
R12,2023-03-01,0.632,6.83,4.21,-0.174,-0.04,2,0.0,214.4,106.5,0,0.0,3,0
R13,2023-03-01,0.512,8.44,4.92,-0.275,-0.88,1,0.7,63.5,113.4,0,0.0,0,0
R14,2023-03-01,0.418,8.11,2.91,-0.698,1.51,2,0.0,83.8,110.5,0,0.0,0,0
R15,2023-03-01,0.508,10.75,4.93,0.025,2.12,0,0.0,474.0,117.0,0,0.0,1,0
R16,2023-03-01,0.587,14.31,3.06,-0.343,1.05,1,0.0,218.0,117.6,0,0.0,1,0
R17,2023-03-01,0.458,7.05,2.34,0.075,0.06,1,0.0,353.9,109.6,0,0.08,2,0
R18,2023-03-01,0.445,14.77,2.32,0.033,2.42,2,0.0,190.5,114.8,0,0.0,2,1
R19,2023-03-01,0.525,11.98,3.54,-0.597,1.17,0,0.0,173.0,110.2,0,0.0,0,0
R20,2023-03-01,0.576,10.77,3.51,-0.619,-0.27,0,0.0,123.7,116.6,0,0.0,0,0
R21,2023-03-01,0.525,6.49,3.39,-0.573,2.49,0,1.0,445.1,107.9,0,0.16,2,1
R22,2023-03-01,0.338,12.31,4.24,-0.811,0.63,0,1.0,242.7,104.8,0,0.17,0,0
R23,2023-03-01,0.476,12.24,3.25,0.179,1.34,1,0.0,301.5,103.3,0,0.0,0,1
R24,2023-03-01,0.549,15.11,3.08,0.454,-1.14,1,0.0,60.7,116.0,0,0.0,0,0
R25,2023-03-01,0.381,11.97,5.21,-0.02,0.17,0,0.0,347.5,106.9,0,0.0,2,0
R26,2023-03-01,0.366,6.4,3.78,-0.467,1.26,0,0.0,350.6,118.9,0,0.45,0,0
R27,2023-03-01,0.38,11.45,4.67,-0.54,1.82,0,0.0,211.8,105.3,0,0.17,0,0
R28,2023-03-01,0.477,15.75,5.43,-0.126,-0.38,3,0.0,118.6,114.8,0,0.0,1,1
R29,2023-03-01,0.448,8.29,4.46,0.032,1.11,0,0.0,116.2,111.1,0,0.26,1,0
R30,2023-03-01,0.527,12.09,2.95,0.107,0.73,1,0.0,414.6,110.3,0,0.0,3,0
R31,2023-03-01,0.338,15.95,3.84,0.186,1.87,0,0.0,450.4,113.8,0,0.0,1,0
R32,2023-03-01,0.35,12.19,2.05,-0.225,-1.3,1,0.7,493.4,109.8,0,0.0,1,0
R33,2023-03-01,0.494,15.27,4.52,-0.668,0.44,0,0.0,417.8,98.3,0,0.0,2,0
R34,2023-03-01,0.554,5.28,5.39,0.423,-1.34,3,1.0,98.1,112.5,0,0.0,1,1
R35,2023-03-01,0.389,9.69,4.11,1.0,-0.31,0,0.0,309.6,115.7,0,0.01,0,0
R36,2023-03-01,0.5,11.16,2.27,-0.164,0.4,0,0.0,427.5,114.7,0,0.06,0,0
R37,2023-03-01,0.577,7.07,2.42,-0.062,0.98,0,1.0,390.1,106.1,0,0.16,1,0
R38,2023-03-01,0.54,11.5,3.05,-0.376,2.63,1,1.0,161.8,111.5,0,0.0,1,0
R39,2023-03-01,0.393,17.12,4.91,-0.239,0.42,0,0.0,74.8,108.7,0,0.0,2,1
R40,2023-03-01,0.273,12.29,5.41,0.115,0.0,0,0.0,348.0,106.8,0,0.09,2,0
R41,2023-03-01,0.599,13.61,2.77,0.475,-0.25,0,0.0,210.0,107.1,0,0.0,3,0
R42,2023-03-01,0.379,9.98,3.07,-0.246,-0.3,0,0.0,390.8,110.1,1,0.0,0,0
R43,2023-03-01,0.585,16.08,4.23,0.047,-0.24,0,0.0,205.5,108.5,0,0.0,2,0
R44,2023-03-01,0.536,11.67,2.25,0.131,-1.44,0,0.0,432.2,105.8,0,0.0,0,0
R45,2023-03-01,0.524,11.2,3.55,0.084,-1.43,2,0.0,454.8,109.2,0,0.0,0,0
R46,2023-03-01,0.577,14.4,3.91,-0.865,1.85,2,0.0,399.8,113.5,0,0.0,0,0
R47,2023-03-01,0.483,8.64,3.81,0.797,-0.11,1,0.0,204.6,116.2,0,0.0,0,0
R48,2023-03-01,0.307,9.73,1.6,0.102,0.35,0,0.0,232.5,114.2,0,0.25,0,0
R49,2023-03-01,0.348,9.79,2.78,-0.578,0.61,0,1.7,457.6,105.8,0,0.15,1,0
R50,2023-03-01,0.426,15.22,3.68,-0.653,0.95,2,0.0,300.3,108.4,0,0.0,0,1
R1,2023-04-01,0.539,10.38,2.37,-0.006,0.96,0,0.49,143.8,106.1,0,0.0,3,0
R2,2023-04-01,0.595,5.78,3.5,-0.203,1.37,1,0.0,249.2,100.8,0,0.07,1,0
R3,2023-04-01,0.606,10.74,4.86,0.577,0.11,0,0.7,495.8,101.8,0,0.0,1,0
R4,2023-04-01,0.361,12.69,2.51,0.085,1.38,0,0.0,316.6,111.0,1,0.0,1,0
R5,2023-04-01,0.471,12.26,3.28,-0.636,-0.35,0,0.49,466.6,112.8,0,0.0,1,0
R6,2023-04-01,0.626,16.03,2.96,-0.631,-0.59,0,0.0,126.4,111.6,0,0.0,1,0
R7,2023-04-01,0.468,16.29,2.57,-0.246,-0.66,0,1.0,98.8,105.9,0,0.0,0,0
R8,2023-04-01,0.493,7.6,3.05,-0.147,-0.6,2,0.0,87.3,111.5,0,0.07,0,0
R9,2023-04-01,0.49,14.68,2.36,-0.071,-1.68,1,1.49,198.4,106.1,0,0.0,1,0
R10,2023-04-01,0.428,13.16,1.28,-0.089,1.03,1,1.19,276.3,106.1,0,0.0,1,0
R11,2023-04-01,0.54,11.36,2.4,-0.344,-0.88,0,0.0,472.4,111.2,0,0.0,0,0
R12,2023-04-01,0.555,6.1,2.92,0.262,-0.02,0,0.0,293.5,111.3,0,0.21,0,0
R13,2023-04-01,0.49,8.51,2.41,-0.802,0.17,3,0.49,392.3,108.6,0,0.0,0,1
R14,2023-04-01,0.409,7.95,3.47,-0.34,1.47,1,0.0,59.9,110.6,0,0.19,2,0
R15,2023-04-01,0.496,10.59,3.62,-0.218,1.37,2,0.0,311.2,112.2,0,0.0,1,0
R16,2023-04-01,0.577,14.22,4.39,-0.239,-1.74,1,0.0,452.7,110.7,0,0.0,1,1
R17,2023-04-01,0.41,7.61,3.27,-0.159,0.19,1,0.0,469.7,110.8,0,0.13,0,1
R18,2023-04-01,0.526,14.53,3.32,-0.058,-0.81,0,1.0,403.0,107.2,0,0.0,1,1
R19,2023-04-01,0.565,12.62,2.29,1.0,1.56,0,0.0,378.4,104.2,0,0.0,2,0
R20,2023-04-01,0.573,9.31,3.37,-0.495,0.04,0,0.0,226.4,108.9,0,0.0,0,1
R21,2023-04-01,0.504,5.99,3.67,-0.154,0.39,1,1.7,72.7,114.7,0,0.2,1,0
R22,2023-04-01,0.323,15.18,5.75,-0.567,-1.23,2,0.7,281.7,106.5,1,0.0,0,1
R23,2023-04-01,0.505,12.83,6.07,-0.063,1.21,0,1.0,322.0,105.7,0,0.07,2,0
R24,2023-04-01,0.54,15.69,3.68,0.673,0.77,1,0.0,232.7,106.3,0,0.0,0,1
R25,2023-04-01,0.393,12.46,2.49,-0.12,-0.62,0,0.0,94.9,107.5,0,0.0,2,0
R26,2023-04-01,0.337,4.55,2.72,-0.364,2.02,1,0.0,306.6,101.8,0,0.16,1,1
R27,2023-04-01,0.367,10.47,3.11,-0.119,-0.15,2,0.0,279.2,110.7,0,0.02,2,0
R28,2023-04-01,0.519,17.63,6.0,-0.27,-0.84,0,1.0,92.7,106.8,0,0.0,1,0
R29,2023-04-01,0.483,9.36,3.74,-0.452,0.26,2,0.0,257.0,114.2,0,0.0,1,0
R30,2023-04-01,0.527,12.05,2.35,-0.284,1.86,2,0.0,234.2,110.7,0,0.0,2,0
R31,2023-04-01,0.315,14.68,1.82,0.43,0.04,1,0.0,140.1,109.3,0,0.0,0,0
R32,2023-04-01,0.312,13.14,4.3,0.094,-0.44,2,0.49,241.5,104.1,1,0.0,1,0
R33,2023-04-01,0.478,13.7,2.47,0.156,0.61,0,0.0,62.7,103.4,0,0.0,0,0
R34,2023-04-01,0.576,4.93,1.24,-0.072,0.73,0,1.7,215.0,102.1,0,0.22,1,0
R35,2023-04-01,0.367,8.27,5.1,0.259,1.94,1,0.0,121.4,100.0,0,0.2,1,0
R36,2023-04-01,0.546,11.76,2.05,0.365,-0.06,1,0.0,152.7,114.3,0,0.0,1,1
R37,2023-04-01,0.593,5.04,3.69,-0.099,0.95,1,0.7,493.7,107.2,0,0.21,3,0
R38,2023-04-01,0.586,11.02,4.21,-0.075,1.43,0,0.7,364.2,107.1,0,0.0,1,0
R39,2023-04-01,0.431,15.14,3.69,-0.42,-1.53,0,1.0,330.1,107.2,0,0.0,1,0
R40,2023-04-01,0.3,12.27,3.18,-0.13,1.0,2,0.0,121.3,105.9,0,0.0,2,0
R41,2023-04-01,0.578,12.48,3.58,0.31,1.56,2,0.0,451.6,106.8,0,0.0,1,1
R42,2023-04-01,0.347,9.54,4.12,0.16,0.03,0,0.0,473.4,112.4,0,0.27,1,0
R43,2023-04-01,0.573,12.96,3.22,-0.936,0.07,1,0.0,98.8,104.6,0,0.0,0,0
R44,2023-04-01,0.558,11.13,3.29,0.08,1.33,1,0.0,278.9,101.9,0,0.0,0,0
R45,2023-04-01,0.561,9.37,3.38,0.239,-0.47,0,0.0,101.6,113.7,0,0.0,0,0
R46,2023-04-01,0.535,14.68,2.63,-0.281,0.76,1,0.0,450.4,109.8,0,0.0,1,0
R47,2023-04-01,0.486,8.04,2.8,-0.093,0.02,0,0.0,495.8,107.3,0,0.17,0,0
R48,2023-04-01,0.286,8.9,1.67,0.083,-0.49,3,0.0,245.1,101.9,0,0.0,1,0
R49,2023-04-01,0.323,11.4,3.53,-0.136,0.49,1,1.19,102.8,99.1,0,0.0,2,1
R50,2023-04-01,0.444,13.46,2.78,-0.115,0.67,0,1.0,293.4,112.8,0,0.0,2,1
R1,2023-05-01,0.517,9.33,3.17,0.638,0.65,0,0.34,197.8,109.8,0,0.07,0,0
R2,2023-05-01,0.568,6.89,3.45,0.305,1.03,3,0.0,448.7,104.9,0,0.0,0,0
R3,2023-05-01,0.563,9.83,2.44,-0.323,0.26,0,0.49,319.6,104.3,0,0.14,1,1
R4,2023-05-01,0.369,9.04,3.22,0.105,1.95,0,0.0,195.3,102.6,0,0.09,1,0
R5,2023-05-01,0.407,11.07,3.59,-0.77,-0.97,2,0.34,431.1,99.1,0,0.0,1,0
R6,2023-05-01,0.595,16.27,4.01,0.313,0.08,3,0.0,60.3,99.2,0,0.0,2,0
R7,2023-05-01,0.406,15.81,2.88,0.365,0.97,1,0.7,368.6,100.0,0,0.0,2,0
R8,2023-05-01,0.466,6.81,1.57,-0.005,-1.82,2,0.0,75.3,97.4,0,0.0,0,0
R9,2023-05-01,0.474,15.12,2.63,-0.127,-1.07,0,1.04,103.1,108.3,0,0.0,0,0
R10,2023-05-01,0.434,13.83,1.82,-0.319,0.41,1,0.83,447.2,110.5,0,0.0,1,0
R11,2023-05-01,0.472,11.6,1.88,0.449,-1.02,0,0.0,349.5,106.6,0,0.0,1,0
R12,2023-05-01,0.565,6.35,2.57,0.115,1.5,0,0.0,394.7,112.2,0,0.15,1,0
R13,2023-05-01,0.487,8.35,2.98,0.019,0.99,0,1.34,301.8,106.9,0,0.0,2,0
R14,2023-05-01,0.373,7.08,3.11,-0.336,-1.88,0,0.0,234.6,108.0,0,0.32,0,0
R15,2023-05-01,0.439,10.51,2.42,-0.986,-0.4,0,0.0,109.5,106.5,0,0.0,0,0
R16,2023-05-01,0.567,12.94,3.44,-0.202,1.02,0,1.0,56.8,100.5,0,0.0,1,1
R17,2023-05-01,0.426,7.61,2.95,-0.042,-3.11,2,1.0,457.1,110.0,0,0.0,0,0
R18,2023-05-01,0.435,13.48,3.03,-0.186,0.93,0,1.7,126.0,111.7,0,0.0,1,1
R19,2023-05-01,0.49,10.81,2.53,-0.651,1.76,0,0.0,175.2,107.9,0,0.0,0,0
R20,2023-05-01,0.541,8.86,2.15,0.25,0.03,0,1.0,405.0,97.6,0,0.03,2,0
R21,2023-05-01,0.459,7.0,1.86,-0.063,0.54,1,1.19,332.5,97.4,0,0.22,1,0
R22,2023-05-01,0.323,12.61,2.61,-0.187,-0.25,0,1.49,181.7,107.4,0,0.09,0,0
R23,2023-05-01,0.431,11.37,2.66,-0.312,-1.75,0,0.7,496.0,102.0,0,0.0,2,1
R24,2023-05-01,0.568,15.03,2.7,0.273,0.87,0,1.0,172.8,113.4,0,0.0,1,0
R25,2023-05-01,0.297,10.55,4.42,-0.295,-0.98,0,0.0,470.4,108.6,0,0.05,1,0
R26,2023-05-01,0.336,3.67,2.0,0.486,0.11,0,1.0,52.0,108.7,0,0.37,0,0
R27,2023-05-01,0.354,9.36,2.87,0.254,0.31,3,0.0,297.9,103.0,0,0.0,1,0
R28,2023-05-01,0.482,18.49,1.69,-0.02,-0.07,0,0.7,231.3,104.4,0,0.0,0,0
R29,2023-05-01,0.392,7.61,3.05,-0.252,1.23,1,0.0,100.2,100.0,0,0.13,2,0
R30,2023-05-01,0.5,12.65,1.89,-0.607,-1.25,0,0.0,80.6,101.1,0,0.0,3,0
R31,2023-05-01,0.316,12.36,4.23,-0.56,-0.12,0,0.0,391.8,113.6,0,0.0,2,0
R32,2023-05-01,0.284,12.62,2.24,-0.289,0.54,0,0.34,199.2,104.7,0,0.13,1,0
R33,2023-05-01,0.473,14.87,3.32,-0.238,0.86,0,0.0,157.2,102.5,0,0.0,1,1
R34,2023-05-01,0.556,4.94,2.58,-0.577,0.35,0,1.19,238.9,106.2,0,0.22,0,0
R35,2023-05-01,0.321,8.61,4.06,-0.778,-2.1,0,0.0,212.7,112.1,0,0.34,1,0
R36,2023-05-01,0.491,10.46,3.42,-0.041,-1.63,0,1.0,398.1,111.3,0,0.0,2,0
R37,2023-05-01,0.543,5.66,2.88,-0.269,1.47,2,0.49,104.1,100.5,0,0.01,2,1
R38,2023-05-01,0.568,10.48,2.74,-0.396,0.43,2,0.49,99.9,108.4,0,0.0,4,0
R39,2023-05-01,0.362,13.83,3.92,-0.457,-1.13,0,0.7,117.2,99.1,0,0.0,1,0
R40,2023-05-01,0.259,13.35,1.57,0.005,0.04,1,0.0,53.4,108.1,0,0.0,0,0
R41,2023-05-01,0.563,12.46,1.56,-0.03,0.89,1,1.0,314.7,110.7,0,0.0,1,0
R42,2023-05-01,0.386,8.76,3.92,0.089,-0.85,0,0.0,216.3,103.8,1,0.0,2,0
R43,2023-05-01,0.54,11.66,5.0,0.153,0.82,0,0.0,62.4,97.2,0,0.0,1,0
R44,2023-05-01,0.523,10.44,2.37,-0.356,-1.46,1,0.0,343.5,100.0,0,0.0,1,0
R45,2023-05-01,0.544,9.01,3.36,-0.003,-1.49,0,0.0,304.8,103.8,0,0.09,1,0
R46,2023-05-01,0.571,14.12,0.45,-0.193,-1.76,0,0.0,250.8,102.0,1,0.0,1,0
R47,2023-05-01,0.514,6.75,2.34,0.279,0.57,0,0.0,72.6,105.7,0,0.11,1,0
R48,2023-05-01,0.268,10.25,3.56,0.051,-0.43,0,0.0,240.4,99.2,0,0.09,0,0
R49,2023-05-01,0.281,10.66,1.87,0.231,1.58,1,1.83,69.1,110.7,0,0.0,0,0
R50,2023-05-01,0.442,14.72,4.05,-0.183,-0.9,2,1.7,253.9,108.5,0,0.0,2,1
